title,abstract,author,year,program,institution,firstname_lastname,institution_fullname
Investigating Rhizobium Leguminosarum Metabolism and Rhizosphere Colonization Using High-Throughput Genomics and Erythritol Enrichments.,"The demand for sustainable agriculture practices is increasing as conditions related to climate change intensify, and plant-based diets gain in popularity. Rhizobia bacteria are used as inoculants to increase the yield of legume crops by fixing nitrogen in nodules on legume roots; this reduces the use of costly and environmentally harmful nitrogen fertilizers. Erythritol is exudated from legume roots, and is catabolized by Rhizobiaceae genera. The goal of the thesis is to explore how erythritol influences community composition, and to discover novel genes influenced by erythritol catabolism in Rhizobium leguminosarum 3841. Microbial communities from bulk soil, and roots, and nodules of pea plants prepared in the bulk soils were enriched on general and erythritol media. Colony morphology assays and high throughput sequencing of the microbial communities reveal that erythritol metabolism is strongly correlated with nodulating Rhizobia strains on the roots of pea plants. High throughput analyses were also employed to explore the functional genes involved in catabolizing erythritol. RNA sequencing results reveal that genes previously reported to be involved with erythritol uptake and catabolism were expressed in higher abundances in cells grown in erythritol. As well, new genes were identified whose transcription is regulated by the presence of erythritol, suggesting a larger gene network involved in erythritol metabolism than previously thought; including stress mitigation, sugar transport, and rhizosphere quorum sensing. The results suggest that erythritol may act as a chemical signal that triggers a specialized response in R. leguminosarum 3841 to out-compete other soil bacteria in colonizing the rhizosphere, thereby nodulating legume roots. Overall, these results provide direction for developing inoculant strains that are more competitive in pea rhizospheres.","Mullock, Kevina Renee.",2022,MSc,Regina,Kevina Mullock,University of Regina
Investigating the role of water and nanoparticles in the performance of CO2 and ethane-based cyclic solvent injection process for heavy oil recovery.,"Cyclic solvent injection (CSI) process is a promising method for enhancing heavy oil recovery in thin or deep heavy oil reservoirs. Foamy oil flow is a major phenomenon of the CSI process, but the impact of foam stabilizers like nanoparticle and water on its performance has not been well understood. Therefore, an in-depth understanding of waterflooding and nanoparticle affecting CSI performance is a crucial step toward further enhancing oil recovery. In addition, most studies only focus on one method. In fact, in order to develop an oil reservoir cost-effectively and efficiently, a variety of methods have to be applied in sequence. In this study, a well-designed experimental investigation was conducted to determine the role of water and nanoparticle in CSI process. First, several foundemental live oil depletion tests were applied to investigate the feasibility of using foamy oil additives in the CSI process, determine the optimum concentration of the additives, and evaluate the best operation conditions on the performance of the CO2 based CSI process. Second, three CO2 based CSI tests were performed using a cylindrical sandpack at different injection pressure. Test 1 conducted a normal CO2 based CSI process for comparison. Test 2 applied a waterflooding process and followed by a CO2 based CSI process. Test 3 was a hybrid process consisting of the sequence: CSI-waterflooding-CSI-Nanoparticle solution flooding- CSI. Third, two ethane based CSI tests (A blank test and a similar combination test) were applied in order to verify and compare CO2 based CSI process. Experimental parameters and results were monitored and recorded. Comprehensive data analytics were performed to examine the effect of water and nanoparticle and identify enhancing mechanisms for the CSI process. Experiment results indicate that using nanoparticles as foam stabilizers in CO2 live oil pressure depletion tests can enhance oil recovery while reducing gas recovery, with higher nanoparticle concentrations resulting in even greater oil recovery. An optimal depletion rate of 6 kPa/min was identified, and the waterflooding process had a positive impact on the performance of both CO2 and ethane based CSI methods, improving mass transfer by expanding gas/oil contact areas. The nanoparticle solution flooding applied before CSI process were able to effectively stabilize foamy oil even at high water saturation levels. The integration of CSI, water flooding, and nanoparticle solution flooding yields an overall oil recovery factor of 69.5% for the combined CO2 based hybrid EOR process and 76.1% for the ethane based hybrid EOR process. Simulation results show that the dispersed gas model exhibits strong alignment between oil and gas production data and pressure distribution in CO2 based live oil pressure depletion tests. For CO2 based CSI process, by incorporating a modified foamy oil model with separate sets of relative permeability curves for injection and production stages, and employing the dispersed gas model during production stage, a robust history-matching of oil, gas, and water production data is achieved simultaneously. In the Lloydminster area, thousands of wells have a water cut exceeding 90% after the waterflooding process and are subsequently abandoned due to the absence of an effective way to continue development. This study meticulously examines potential enhancements for the CSI process, which involve utilizing foam stabilizers in combination with synergistic water flooding methods. The findings of this study provide practical solutions to address the technical challenges encountered during the subsequent development of heavy oil wells with high initial water saturation. Additionally, the study highlights the promising prospects of combination approaches in enhancing heavy oil recovery.","Li, Yishu.",2024,PhD,Regina,Yishu Li,University of Regina
Machine learning-based models for failure prediction and propagation in smart grid systems.,"The smart grid connects components of power systems and communication networks in an interdependent two-way system that supplies or receives electricity to or from prosumers and collects data that enables it to react to usage levels and interference from threats, such as cyber-attacks. Cascading failures resulting from cyberattacks are one of the main concerns in smart grid systems. The use of artificial intelligence (AI)-based algorithms has become more relevant in identifying and forecasting such cascading failures. However, existing models that study the propagation of cascading failures either omit the impact of the communication network or power characteristics on the propagation process. To address this gap, in this thesis, we propose a set of novel cyber-attack failure propagation models in smart grids. First, our realistic failure propagation (RFProp) model addresses the system's heterogeneity by assigning different roles to its components. We define rules and interdependencies for failure propagation and propose a new model for studying cascading failures. In addition, the RFProp graph-based model identifies the most vulnerable nodes and implements power flow analysis to guarantee that all transmission lines work below capacity and remove lines exceeding capacity. Our results establish that by considering both power and communication characteristics and interdependencies, cascading failures are modeled more accurately. In the second step, we propose a novel earlystage failure prediction (ESFP) model based on supervised machine learning (ML) algorithms. We use the RFProp model to generate a dataset for training these algorithms and predicting the state of a system's components after a failure propagates in that system. Using the ESFP model, we predict failures of all of a system's elements in the early stages of failure propagation. We use the XGBoost algorithm and consider the features of both the power and communication networks that provide high accuracy in the prediction process for failures. We also identify the location of the initial failures, as this allows for further protection plans and decisions. In the third step, we use the real-time digital simulator (RTDS) to develop a real-time early-stage failure prediction (RESP) model that simulates the power system in real time and makes it more realistic. We evaluate the RESP model's effectiveness using the IEEE 14-bus system, which results in the XGBoost algorithm achieving a high accuracy in predicting attacks and with a lower testing time. Finally, we introduce a real-time attack prediction (RTAP) model based on a real-time testbed designed to examine the impact of cyber-attacks on smart grid systems. We utilize real-time simulators, including RTDS and network simulator 3 (NS3) to emulate the behavior of power and communication networks. Using this model, we employ various ML algorithms to detect cyber-attacks. We evaluate the effectiveness of the proposed model using an IEEE 14-bus test case, demonstrating high accuracy and efficient testing time.","Salehpour, Ali.",2024,PhD,Regina,Ali Salehpour,University of Regina
Measurement of the pion exclusive electro-production cross-section in the E12-19-006 experiment in Hall-C at Jefferson Lab.,"One of the most effective methods for exploring the transition from hadronic de- grees of freedom to quark-gluon degrees of freedom in Quantum Chromodynamics (QCD) is through the investigation of \exclusive' pion and kaon electro-production reactions at various Q2 and -t values. The E12-19-006 experiment is conducted within the confines of experimental Hall C at the Thomas Jefferson National Accel- erator Facility, USA, for such studies. The primary aim of the experiment is to first enhance our comprehension of the pion electro-production cross-section and its form factor at Q2 = 0.38 and 0.42 GeV2. This is the first run period of the E12-19-006 experiment which ran in summer 2019. A more profound understanding of the pion electro-production reaction, 1H(e,e'π+)n, at low Q2 is deemed essential to employ this electro-production reaction (an indirect technique) for the high Q2 studies, thereby delving deeper into the realm of QCD. Consequently, this dissertation presents a thorough analysis of the experimental data acquired in the first run period of the E12-19-006 experiment. In pursuit of precision, a series of systematic studies (target boiling correction study, the elastic reaction cross-section measurements, study for determining vari- ous kinematics offsets, etc.) are conducted to discern the accuracy of the analyzed data, a prerequisite for the use of Rosenbluth separation technique to separate the pion electro-production cross-section terms in t bins. The separated pion electro- production cross-section through the Rosenbluth separation technique is then used to extract the pion electromagnetic form factor. In this dissertation, the pion electro-production cross-section is carefully dissected into its four constituent components: longitudinal ([...]L), transverse (σT ), longitudinal- transverse (σLT ), and transverse-transverse (σTT ), using the full version of Rosenbluth separation technique for the Q2 = 0.38 GeV2. The technique is simultaneously fitted to the unseparated pion electro-production cross-sections at the three values of polar- ization of the virtual photon (ϵ), i.e., ϵ = 0.286, 0.629 and 0.781. An iterative process is applied to refine the parameters of the model cross-sections until the yield ratio of experimental and Monte Carlo simulation converges. In this study, 21 iterations are conducted to refine the model cross-section parameters. The final pion electro- production cross-section terms are then determined for 7 t bins using the optimized parameters of the model cross-sections.","Kumar, Vijay.",2024,PhD,Regina,Vijay Kumar,University of Regina
Mental and Physical Health of Adolescents During the Early Months of COVID-induced Restrictions: A Pilot Study.,"COVID-induced restrictions may have detrimental effects on the mental and physical health of adolescents, a critical period of rapid growth in both these domains. The purpose of the present study was to assess mental (stress, social isolation) and physical (physical activity, sedentary and screen time, dietary and sleeping patterns) health of youth in grades 7-12 in the Regina and Greater Regina area during the early months (March - August 2020) of the COVID- 19 pandemic and associated restrictions, as well as perceptions of remote learning (March-June 2020) and return to in-person school in September 2020. The study used a cross-sectional study design from data collected between July 25 and September 7, 2020 from an online survey. The survey included COVID-specific mental health questions, globally used questionnaires for physical health (International Physical Activity Questionnaire [IPAQ]; Rapid Eating Assessment for Participants [REAP]; Pittsburgh Sleep Quality Index [PSQI]), and a variety of open-ended questions. Descriptive statistics were used to analyze closed-ended survey responses and physical health questionnaires, and multiple linear regression investigated relationships between mental and physical health. Qualitative thematic analysis of open-ended questions regarding physical health (e.g., physical activity, sedentary behaviour, dietary habits and sleeping patterns) was framed using the Capability, Opportunity, Motivation Behaviour (COM-B) model of behaviour change. The sample of 51 participants (age: 14.73±1.72 years) was 64.0% female; six participants participated in the follow-up interview. Overall, COVID-induced restrictions had a moderate negative effect on mental health and created 'quite a bit' of stress regarding the future. Physical activity levels and recreational screen time were not in accordance with Canadian guidelines, and mean dietary patterns and sleep quality were 'healthy' and 'poor,' respectively. Individuals with a higher negative impact on mental health were more likely to have unhealthy dietary patterns and poor sleep quality. Common themes for changes in lifestyle behaviours were 'having more time' during school closures that gave opportunities to either engage in physical activity or sedentary behaviour, and the capability to 'eat healthier and more frequently' and 'make changes to bedtime routines'. Remote school delivery was reportedly 'much less enjoyable' compared to in-person classes and participants were mostly excited to return to inperson school in September 2020. Findings from the present pilot study indicate that adolescents in Regina and the Greater Regina area were negatively affected regarding their mental and physical health in the early months of the COVID-19 pandemic and associated restrictions. Further, remote school delivery was 'much less enjoyable' compared to in-person school. These results can be used to design future cross-sectional and longitudinal studies assessing mental and physical health of adolescents in a larger sample size and across different socio-demographics that can be useful for developing interventions and policies promoting mental health and lifestyle behaviours in adolescents. Furthermore, schools should consider modifying remote learning to increase virtual engagement and connectedness for adolescents.","Ahmad, Kirrat.",2022,MSc,Regina,Kirrat Ahmad,University of Regina
Microfluidic investigation of cyclic solvent injection: from reservoir-on-the-chip to large scale.,"Cyclic Solvent Injection (CSI) is an effective Enhanced Oil Recovery (EOR) technique with several economic and environmental benefits. Understanding the key mechanisms and developing reliable scaling criteria are required to successfully implement CSI commercially. In this study, CSI was assessed from both microscopic and macroscopic perspectives using experimental and numerical methods. Regarding the experimental studies, the characteristics of the heavy oil/solvent systems used were evaluated through a detailed PVT analysis that included Constant Composition Expansion (CCE) and Differential Liberation (DL) tests. Moreover, this study examined the microscopic behaviour of foamy oil flow on microfluidic platforms, examining the mechanisms involved in bubble evolution. Based on the visualization studies conducted on the microfluidic systems, it was found that solvent type, pressure depletion rate, and reservoir characteristics had a significant influence on the extension of foamy oil flow. Accordingly, solvents containing a higher proportion of CO2 exhibited superior performance, primarily due to their ability to lower viscosity, enhance swelling, and deliver more gas molecules. Additionally, a higher pressure-depletion rate increases the driving force for bubble nucleation while limiting the time available for bubble coalescence. Moreover, lower reservoir porosity interferes with bubble movement and slows down coalescence, prolonging the foamy oil flow. In addition, Sandpack experiments showed that the Cumulative Gas Oil Ratio (CGOR) is a key indicator of foamy oil flow. Even below bubble point pressure, CGOR remains nearly constant as exsolved gas disperses rather than forming free gas immediately. As part of the simulation study, a numerical model was developed using the CMG software package that captures the non-equilibrium behaviour of the foamy oil flow by utilizing two pseudo-chemical reactions including bubble generation and bubble coalescence. Additionally, to minimize the discrepancy between simulation predictions and experimental results, CMG CMOST was used to tune the oil and gas relative permeabilities as well as reaction rate frequency factors. CSI has been also formulated comprehensively by integrating material balance, mass transfer, and pseudo-chemical reaction equations to derive key dimensionless scaling terms based on the Buckingham π Theorem. 11 dimensionless terms have been identified, which encompass a wide range of phenomena, including foamy oil mobility and its intricate dynamics, as well as solvent exsolution processes. As a result, a comprehensive procedure has been developed for scaling up laboratory results to larger systems. In addition, to account for pressure propagation delay in larger reservoirs, an effective workflow was established to systematically modify the permeability in lab settings in such a manner that its results can be translatable into larger models. Based on analysis of two synthetic reservoirs, a reasonable match in terms of recovery factor, cumulative gas production per unit pore volume, and CGOR versus dimensionless time between the synthetic reservoirs and the Sandpack models was demonstrated, which highlights the robustness and effectiveness of the proposed scaling method. The proposed scaling workflow offers a foundation for future research on scaling methodologies in solvent-based heavy oil recovery processes. Moreover, it can be used to optimize recovery strategies and reservoir management by enabling more accurate predictions of CSI performance at larger scales.","Cheperli, Ali.",2024,PhD,Regina,Ali Cheperli,University of Regina
Movement Patterns of Migratory Bats during Autumn Migration.,"Migration routes of long-distance migratory tree-roosting bats (Lasiurus cinereus, L. borealis and Lasionycteris noctivagans) in North America are poorly understood. Large numbers of bat fatalities recorded at wind energy facilities are contributing to likely population declines of these species. Most documented migratory bat fatalities at wind energy installations occur during autumn migration. There is some urgency to better understand migration patterns of these bats, because like many other jurisdictions, the Province of Saskatchewan plans to dramatically increase wind power generation capacity. I installed passive acoustic detectors in southern Saskatchewan during the migration period to measure migratory bat activity. I placed one set of detectors in a three-by-three grid pattern across the study area in locations with high wind energy potential and prominent landscape features. I installed a second set of detectors along 5 km transects perpendicular to four of the province's major rivers. I found higher levels of migratory bat activity in the eastern portion of the province. Activity was also generally higher in riparian areas and decreased with distance from rivers. This pattern is consistent with access to resources such as roosting habitat and water being important in bat migration route selection. Sites located in riparian areas and the southeastern portion of the province contain more forested landscape than other sampling sites located in uplands and grassland ecoregions. These results will inform siting decisions for future wind energy projects.","Swerdfeger, Erin Christina.",2022,MSc,Regina,Erin Swerdfeger,University of Regina
Nanocellulose-based materials for sustainable soil remediation and water purification.,"Soil and water pollution are intricately linked environmental issues that have gained significant global attention due to their adverse effects on ecosystems, public health, and overall sustainability. In this dissertation, the pressing need for sustainable pollutant treatment using ecofriendly and biodegradable nanocellulose (CNC) biopolymers is addressed. This research focuses on the development of CNC-based materials, characterization of their adsorption behaviors, evaluation of CNC-mediated algal toxicity, and exploration of the application of the these materials in sustainable soil remediation and water purification. In the first part, the utilization of CNC nanofluid as an eco-friendly agent for the remediation of phenanthrene (PHE) contaminated soil is proposed. This marks the first exploration of CNC nanofluid's effectiveness in mobilizing PHE in soil, with a focus on the influence of environmental factors. The findings demonstrate the critical role of temperature and ionic strength in PHE removal. This study also reveals the interactions between CNC and soil components, elucidating the primary PHE removal mechanism. Additionally, our research highlights the detoxification effect of CNC nanofluid on PHE-contaminated soil, providing a promising alternative for site remediation. In the second part, inspired by the hierarchical fibrous structure and antibacterial properties of natural silkworm cocoons, a guanidine-functionalized sericin/nanocellulose aerogel (GSNA) is designed for application in the rapid removal of both bacteria and heavy metals from water. The grafted polyhexamethylene biguanide (PHMB) endows the biomimetic aerogel with exceptional bactericidal activity. The incorporated sericin protein brings abundant surface functional groups for heavy metal complexation. Moreover, this study provides in-depth insights into the bonding mechanism between metal ions and GSNA through density functional theory (DFT)-assisted X- ray absorption near edge structure (XANES) analysis, representing a pioneering effort in elucidating the adsorption mechanism of heavy metals within nanocellulose-based aerogels. In the third part, a recyclable sericin/nanocellulose composite aerogel (SNCA) is introduced for efficient tetrabromobisphenol A (TBBPA) removal from water. The developed SNCA exhibits exceptional compressibility, hydrophilicity, and adsorption capacity. In addition, the SNCA can be easily recycled through a simple compression method, demonstrating remarkable reusability even after 10 regeneration cycles. Furthermore, toxicity evaluations reveal that SNCA effectively mitigates the adverse effects of TBBPA on freshwater algae, emphasizing its environmental friendliness. DFT calculations provide insights into the TBBPA adsorption mechanism, indicating the involvement of hydrogen bonding and electron donor-acceptor interactions. In the fourth part, the investigation reveals that the presence of CNC significantly reduce ZnO NP aggregation, enhancing bioavailability and toxicity to freshwater algae. The interaction of ZnO NPs with CNCs leads to envelopment of algal cells and induces oxidative stress, affecting membrane lipids and antioxidant enzyme activity. The introduction of CNCs enhances intracellular transportation of Zn ions, influencing substance flow between algae cells and the environment. This study advances our understanding of the combined effects of multiple nanomaterials on aquatic organisms, allowing for the identification of composite risks. In summary, this research explores novel and sustainable approaches for pollutant treatment and environmental remediation, utilizing biodegradable nanocellulose materials. These efforts contribute to reducing environmental impact and promoting eco-friendly solutions for soil and water purification.","Yin, Jianan.",2024,PhD,Regina,Jianan Yin,University of Regina
Personalized and Communication Cost Reduction Models in Federated Learning.,"Artificial Intelligence (AI) has widespread applications, including adding personalization to the customer experience, or lifestyle recommendations that sometimes raise concern regarding data privacy; especially in medical applications. Federated learning is used to solve this problem of user privacy. Most of the federated models are implemented by connecting billions of edge devices for privacy-preserved, on-device training. However, edge devices have limited network resources, which causes hindrance to effective communication of the machine learning models. Researchers have used several techniques like quantization and asynchronous updates to reduce the communication costs, but these techniques cause an improvement of just 10-15%. Furthermore, most of the current personalized machine learning models are trained by accessing the user information from a centralized machine learning server. This research proposes two models that provide solutions to the above communication cost and personalization problems in federated learning. The first proposed model is Federated Learning with Improved Communication Cost (FLICC), which effectively reduces the communication cost by around 40%. The model provides an efficient communication method by transmitting around 60% of the model parameters in each communication round. To prove that the model reduces the communication cost, we conducted experiments on convolutional neural networks, multi-layer perceptron, and long short-term memory networks using the MNIST, CIFAR-10 and NN5 datasets. These experiments successfully prove the efficacy of the FLICC model as we achieve competitive results compared to conventional federated learning models while reducing the communication cost. The second proposed model is the Personalized Federated Learning (PFL) Model, trained using privacy preserved machine learning techniques and abides by data privacy laws like GDPR (General Data Protection Regulation). In this model, the clients are clustered based on their similar metadata, and the PFL model is sent for on-device training on those clusters to provide personalized results to the users in the cluster. The proposed hypothesis has been proved using the LSTM model on the MIMIC III dataset with series of medical records of different patients. Experiments and results show that the PFL model provides better results in terms of MSE, MAPE, and SMAPE evaluation metrics compared to the conventional federated learning model. The results from both models posit they can solve the problem of communication overhead and personalization in a federated setting.","Tandra, Sandeep Reddy.",2022,MSc,Regina,Sandeep Tandra,University of Regina
Pneumonia Detection with Game-Theoretic Rough Sets.,"Pneumonia causes severe repercussions if not acted upon at the right time. Machine learning has been applied to classify chest X-ray images into pneumonia-positive and pneumonia-negative classes to allow an early diagnosis and support medical experts' decisions about pneumonia. Nonetheless, the previous attempt focus on binary classification that may not consider the possibility of the presence of uncertain information in chest X-ray images. This method forces the system to have definite and unreliable decision on suspicious cases of pneumonia. The three-way classification can overcome the shortcoming of binary classification by classifying X-ray images into three classes, pneumonia-positive class to categorize instances that represent pneumonia; pneumonia-negative class to categorize instances that represent normal chest X-ray; pneumonia-indecisive class to categorize instances, for which making decision based on the available information is difficult. In this study, chest X-ray images are used to experiment and we employ three-way classification, supported by rough sets, to interpret the doubtful X-ray images that lack complete information. The training set of X-ray images is divided into three distinct regions based on testing and test-treatment thresholds. This threshold pair determines the decision of no treatment, treatment, and delayed treatment. The three regions in three-way classification are termed as positive, negative, and boundary. Definite decisions, such as 'treatment' or 'no treatment' for pneumonia can be inferred from positive and negative regions, respectively. No decision is made for the boundary region until supporting facts are collected. Conventional rough sets uses a stringent threshold pair that restricts the number of instances being classified for definite decision. Conversely, probabilistic rough sets mitigates this limitation by allowing the use of a modified value for the threshold pair. This theory can classify more instances into positive and negative regions. Hence, we apply probabilistic rough sets to derive three classes, but it is crucial to achieve an appropriate testing and test-treatment threshold pair. In this study, we apply game-theoretic rough sets (GTRS) to determine a suitable threshold pair. The evaluation criteria, accuracy, and coverage of the three-way classification model are played as players in a competitive game. The game is reformulated continuously as the player modifies their strategy. Consequently, a suitable threshold pair can be learned that balances these aspects and achieves an optimal trade-off. By using the achieved threshold pair from GTRS, three classes are defined for the pneumonia classification system. From the first two classes, pneumonia-positive or pneumonia-negative decisions can be made. In the remaining class, we explore X-ray images that lack the crucial information for making inferences. With the third class, the healthcare system would be able to re-examine the indecisive chest X-ray images by conducting tests instead of taking definite decisions based on incomplete data. Based on the experiment, we achieve an accuracy score of 96.25% while covering 64.01% of the test set for certain decisions. The test results are also compared with various other related work and rough sets models. The GTRS based probabilistic rough sets model obtains a greater coverage of data than the conventional rough sets and better accuracy as compared to 0.5-probabilistic rough sets. This thesis is expected to provide an understanding of GTRS from its application perspective.","Singh, Suby.",2022,MSc,Regina,Suby Singh,University of Regina
Potential Impacts of Zebra Mussel Invasion on Gamefish Health and Prey Availability in Prairie Lakes.,"Invasive species are a threat to global aquatic ecosystems. Nonetheless, their impacts can be heterogeneous across systems. Recent reports suggest Saskatchewan (SK) prairie lakes are highly prone to zebra and quagga mussels (ZQM) given their proximity to invasive corridors of Manitoba and three US states (Montana, North Dakota, and Minnesota) where they have been reported. As the effect of ZQM on native species is variable and context-dependent across locations and time, an understanding of prevailing biological, physical and chemical conditions supporting various cohorts of fish communities is necessary for prioritizing mitigation efforts to address the potential effects of these dreissenids in uninvaded systems. To gain these important insights, I investigated diet composition and body conditions of three ecologically and recreationally important gamefishes; walleye (Sander vitreus), northern pike (Esox lucius), and yellow perch (Perca flavescens) sampled from 18 SK prairie lakes. In addition, I assessed the impact of fish size and environmental variables on gamefish body conditions. Twenty-three prey taxa were found in the diets of these fishes. While both invertebrates (amphipods) and fish formed significant constituents of walleye diets, pike concentrated more on fish prey, whereas perch relied more on invertebrates (chironomids and amphipods). Zooplankton was only a minor contributor to the diets of all three gamefish species. Body conditions of walleye and pike decreased with size, but yellow perch populations were in consistently good condition across all size groups. These results suggest preferred fish prey of larger piscivores (i.e., pike and walleye) may be present in insufficient quantity. Lake productivity and alkalinity influenced body conditions of large-sized walleye and yellow perch. The scarcity of pelagic zooplankton prey in the diets of small-sized gamefishes implies these populations may be less threatened by future ZQM invasion than previously assumed. Next, I contrasted stomach content data and Carbon (C), Nitrogen (N), with Sulfur (S) stable isotope analyses to better quantify the relative importance of various foraging habitats to the three gamefish species. Bayesian Mixing models predicted that in about 70% of our study lakes > 55% of gamefish diets were sourced from the littoral region, whereas in ~30% of surveyed lakes, > 55% of gamefishes diets was sourced from the pelagic habitat. General evidence of similar reliance on sediment S sources in lakes where two species co-occurred (walleye and pike or walleye and perch) was observed. Overall, the three predominant gamefishes exhibited comparable dependence on the three feeding habitats (littoral, pelagic, sediment) across SK prairie lakes. Findings of stomach content analysis (SCA) and stable isotope analysis (SIA) were assessed to determine how the two techniques corroborate, contradict or complement each other. Results indicated a lack of correspondence between the two methods utilized in examining walleye diets, suggesting the need to use both techniques as complements for more robust results. Finally, because future invasion by ZQM is expected to significantly impact energy sources of gamefishes, I examined the current environmental controls of reliance on pelagic, littoral, and sediment-based diets. Walleye reliance on pelagic energy sources increased with the maximum depth of lakes and decreased with total dissolved solids (TDS) concentrations, implying the contribution of pelagic diets increase for fish populations in deeper and less saline lakes. However, sediment-based diets were not influenced by any of the selected environmental parameters. Integrating SCA and SIA overall helped to advance our understanding of feeding habits of gamefish populations in SK prairie lakes and demonstrates the value of combining these analyses for a comprehensive understanding of feeding interactions within aquatic ecosystems.","Ofosu, Caroline Barbara.",2022,MSc,Regina,Caroline Ofosu,University of Regina
Prevalence and predictors of alcohol use disorder among Canadian Armed Forces members and veterans with military sexual trauma.,"Military sexual trauma (MST) is a pervasive issue that is associated with adverse psychological and physical health sequelae (e.g., chronic health conditions, mental health disorders, suicidal ideation). Alcohol use disorder (AUD) is positively associated with MST and may exacerbate physical and mental health conditions. An elevated lifetime prevalence of MST was recently reported among Canadian Armed Forces (CAF) Members and Veterans. Still, research examining the relationship between MST and AUD within a Canadian context is lacking. Risk factors for AUD among CAF Members and Veterans with MST have also yet to be identified. The current thesis used the 2018 CAF Members and Veterans Mental Health Survey (n = 2,941) to assess the prevalence and predictors of AUD since 2002 among participants with lifetime MST, non-military sexual trauma (NMST), and no sexual trauma. Findings from cross tabulations revealed greater prevalence estimates of AUD among participants with any sexual trauma (MST = 21.6%, NMST = 29.2%) compared to those without sexual trauma (14.68%). Disproportionately greater prevalence estimates of AUD were found among males relative to females across all sexual trauma groups. Results of logistic regression analyses indicated that individuals with MST and NMST had significantly greater odds of AUD than those without sexual trauma. Younger age, male sex, and greater moral injury significantly predicted increased odds of AUD among all three groups. Few unique predictors of AUD were observed across the sexual trauma groups. Deployment history predicted AUD among those with MST and no sexual trauma. Lower rank predicted AUD among those with NMST and no sexual trauma. Military environment, lifetime other mental health disorders, and childhood maltreatment history were associated with significantly increased odds of AUD only among participants without sexual trauma. The current thesis determined that AUD represents a substantial issue among CAF Members and Veterans, particularly among those with military and civilian sexual trauma. This investigation contributes to the advancement of the current understanding of AUD among CAF Members and Veterans by identifying prevalence estimates of AUD and elucidating factors that enhance vulnerability to AUD among those with and without sexual trauma. These findings highlight the importance of supporting initiatives designed to prevent civilian and military sexual trauma. Additionally, the current findings suggest that screening for AUD among individuals with MST and NMST may be especially important. Keywords: military sexual trauma, alcohol use disorder, Canadian Armed Forces, Veterans.","Kinsman, Laura Marie.",2024,MSc,Regina,Laura Kinsman,University of Regina
Progressive partition-based granular computing and complexity measures.,"Granular computing has received much interest over the past few decades due to its effectiveness and practicality in managing complexity. While it is intuitively believed that complexities in granular computing are linked to granularities, there do not exist any studies to show they have a direct connection. This suggests the need to investigate complexity from a different perspective. Simon's concept of nearly decomposable systems, which describes complexity from a hierarchical perspective, aligns closely with the hierarchical nature of granular structures. Thus, granular structures can provide a foundation for exploring complexities in granular computing. This study investigates the complexity of the progressive partition-based model of granular computing. We formally define the progressive partitioning tree (PPT), which is the structure used in the progressive partition-based model, and provide a general method that recursively measures the complexity of PPTs. Additionally, we propose a class of interaction-based complexity measures by treating interactions as the source of complexity. These measures can quantitatively explain the complexity differences between structures and the complexity reduction offered by the progressive partition-based model of granular computing.","Li, Qiaoyi.",2024,MSc,Regina,Qiaoyi Li,University of Regina
